postal_code,http://webprotege.stanford.edu/R9vkBr0EApzeMGfa0rJGo9G,http://webprotege.stanford.edu/RJAL6Zu9F3EHB35HCs3cYD,http://webprotege.stanford.edu/RcIHdxpjQwjr8EG8yMhEYV,http://webprotege.stanford.edu/RDudF9SBo28CKqKpRN9poYL,http://webprotege.stanford.edu/RLc1ySxaRs4HWkW4m5w2Me
19903,True,,,,
19955,True,False,True,True,False
19902,True,False,True,True,False
19934,True,False,True,True,False
19946,True,False,True,True,True
19936,True,False,True,True,False
19901,True,False,True,True,True
19953,True,False,True,True,False
19962,True,False,True,True,False
19954,True,False,True,True,False
19904,True,False,True,True,False
19980,True,,,,
19943,True,False,True,True,False
19964,True,False,True,True,False
19979,True,False,True,True,False
19961,True,,,,
19711,True,False,True,True,False
19977,True,False,True,True,True
19716,True,False,True,True,False
19718,True,,,,
19708,True,,,,
19702,True,False,True,True,False
19713,True,False,True,True,False
19720,True,False,True,True,False
19802,True,False,True,True,False
19717,True,False,True,True,False
19899,True,,,,
19892,True,,,,
19701,True,False,True,True,False
19712,True,,,,
19710,True,False,True,True,False
19807,True,False,True,True,False
19732,True,False,True,True,False
19726,True,,,,
19736,True,False,True,True,False
19707,True,False,True,True,False
19734,True,False,True,True,True
19730,True,False,True,True,False
19808,True,False,True,True,False
19938,True,False,True,True,False
19890,True,,,,
19898,True,,,,
19721,True,,,,
19703,True,False,True,True,False
19715,True,,,,
19731,True,False,True,True,False
19897,True,,,,
19706,True,False,True,True,False
19709,True,False,True,True,True
19803,True,False,True,True,False
19810,True,False,True,True,False
19735,True,False,True,True,False
19714,True,,,,
19884,True,,,,
19894,True,,,,
19896,True,,,,
19804,True,False,True,True,False
19801,True,False,True,True,False
19806,True,False,True,True,False
19733,True,False,True,True,False
19895,True,,,,
19805,True,False,True,True,False
19809,True,False,True,True,False
19958,True,False,True,False,True
19939,True,False,True,False,False
19956,True,False,True,False,False
19967,True,False,True,False,False
19950,True,False,True,False,False
19944,True,False,True,False,False
19940,True,False,True,False,False
19968,True,False,True,False,True
19952,True,False,True,True,False
19941,True,False,True,False,False
19931,True,False,True,False,False
19945,True,False,True,False,False
19951,True,False,True,False,False
19973,True,False,True,False,False
19947,True,False,True,False,False
19971,True,False,True,False,False
19966,True,False,True,False,False
19975,True,False,True,False,False
19930,True,False,True,False,False
19963,True,False,True,True,True
19970,True,False,True,False,False
19933,True,False,True,False,False
19960,True,False,True,False,False
19969,True,,,,
36502,True,True,True,True,True
36507,True,True,True,True,True
36527,True,True,True,True,True
36532,True,True,True,True,False
36561,True,True,True,True,False
36550,True,True,True,True,True
36564,True,True,True,True,False
36579,True,True,True,True,True
36526,True,True,True,True,False
36551,True,True,True,True,True
36555,True,True,True,True,False
36542,True,True,True,True,True
36567,True,True,True,True,True
36533,True,,,,
36576,True,True,True,True,False
36580,True,True,True,True,False
36547,True,,,,
36559,True,True,True,True,False
36562,True,True,True,True,True
36549,True,True,True,True,True
36577,True,,,,
36511,True,True,True,True,False
36530,True,True,True,True,True
36480,True,True,True,False,False
36535,True,True,True,True,False
36574,True,True,True,True,False
36536,True,,,,
36578,True,True,True,True,True
36251,False,False,False,False,True
35089,False,True,False,True,False
36266,False,False,False,False,True
36267,False,False,False,False,False
36256,False,True,False,True,False
36258,False,False,False,False,False
36255,False,False,False,False,False
36276,False,False,False,False,False
35646,False,True,False,True,False
35616,False,True,False,True,False
35661,False,True,False,True,False
35674,False,True,False,True,False
35660,False,True,False,True,False
35653,False,True,False,True,False
35582,False,True,False,True,False
35968,False,False,False,True,False
35984,False,False,False,True,True
35765,False,False,False,True,False
35983,False,True,False,False,False
35966,False,False,False,True,True
35975,False,False,False,True,False
35959,False,True,False,False,True
35978,False,False,False,True,True
35988,False,False,False,True,False
35951,False,False,False,False,False
35967,False,False,False,True,True
35981,False,False,False,True,True
35974,False,False,False,True,False
35979,False,False,False,True,False
35989,False,False,False,True,True
35963,False,False,False,True,False
35962,False,False,False,True,False
35971,False,False,False,True,False
35986,False,False,False,True,False
